source_country;source_region;rows
North Macedonia;Kruševo Municipality;1
North Macedonia;Kumanovo Municipality;1
North Macedonia;Lipkovo Municipality;1
North Macedonia;Lozovo Municipality;1
North Macedonia;Makedonska Kamenica Municipality;1
North Macedonia;Makedonski Brod Municipality;1
North Macedonia;Mavrovo i Rostuše Municipality;1
North Macedonia;Mogila Municipality;1
North Macedonia;Negotino Municipality;1
North Macedonia;Novaci Municipality;1
North Macedonia;Novo Selo Municipality;1
North Macedonia;Ohrid Municipality;1
North Macedonia;Oslomej Municipality;1
North Macedonia;Pehčevo Municipality;1
North Macedonia;Petrovec Municipality;1
North Macedonia;Plasnica Municipality;1
North Macedonia;Prilep Municipality;1
North Macedonia;Probištip Municipality;1
North Macedonia;Radoviš Municipality;1
North Macedonia;Rankovce Municipality;1
North Macedonia;Resen Municipality;1
North Macedonia;Rosoman Municipality;1
North Macedonia;Saraj Municipality;1
North Macedonia;Sopište Municipality;1
North Macedonia;Staro Nagoričane Municipality;1
North Macedonia;Struga Municipality;1
North Macedonia;Strumica Municipality;1
North Macedonia;Studeničani Municipality;1
North Macedonia;Sveti Nikole Municipality;1
North Macedonia;Tearce Municipality;1
North Macedonia;Tetovo Municipality;1
North Macedonia;Valandovo Municipality;1
North Macedonia;Vasilevo Municipality;1
North Macedonia;Veles Municipality;1
North Macedonia;Vevčani Municipality;1
North Macedonia;Vinica Municipality;1
North Macedonia;Vrapčište Municipality;1
North Macedonia;Zelenikovo Municipality;1
North Macedonia;Zrnovci Municipality;1
North Macedonia;Čair Municipality;1
North Macedonia;Čaška Municipality;1
North Macedonia;Češinovo-Obleševo Municipality;1
North Macedonia;Čučer-Sandevo Municipality;1
North Macedonia;Štip Municipality;1
North Macedonia;Šuto Orizari Municipality;1
North Macedonia;Želino Municipality;1
North Macedonia;Ǵorče Petrov municipality;1
Norway;Innlandet;1
Norway;Jan Mayen;1
Norway;Oslo Municipality;1
Norway;Viken;1
Old Swiss Confederacy;Republic of Mulhouse;1
Ottoman Empire;Adana vilayet;1
Ottoman Empire;Adrianople eyalet;1
Ottoman Empire;Adrianople vilayet;1
Ottoman Empire;Aleppo vilayet;1
Ottoman Empire;Beirut vilayet;1
Ottoman Empire;Bosnia eyalet;1
Ottoman Empire;Bosnia vilayet;1
Ottoman Empire;Harran sanjak;1
Ottoman Empire;Homs sanjak;1
Ottoman Empire;Hudavendigar vilayet;1
Ottoman Empire;Istanbul vilayet;1
Ottoman Empire;Konya vilayet;1
Ottoman Empire;Kosovo vilayet;1
Ottoman Empire;Mamuret-ul-Aziz vilayet;1
Ottoman Empire;Mosul Vilayet;1
Ottoman Empire;Mutasarrifate of Jerusalem;1
Ottoman Empire;Rumelia eyalet;1
Ottoman Empire;Salonica vilayet;1
Ottoman Empire;Scutari vilayet;1
Ottoman Empire;Syria Vilayet;1
Ottoman Empire;Van vilayet;1
Ottoman Empire;Yemen Vilayet;1
Poland;Kalisz Voivodeship;1
Poland;Koszalin Voivodeship;1
Poland;Rzeszów Voivodeship;1
Poland;Suwałki Voivodeship;1
Poland;Warsaw Voivodeship;1
Poland;Wrocław Voivodeship;1
Polish People's Republic;Białystok Voivodeship;1
Polish People's Republic;Koszalin Voivodeship;1
Polish People's Republic;Kraków Voivodeship;1
Polish People's Republic;Łódzkie Voivodeship;1
Polish–Lithuanian Commonwealth;Sanok Land;1
Portugal;Madeira;1
Republic of Abkhazia;Gagra District;1
Republic of Abkhazia;Gali District;1
Republic of Abkhazia;Gudauta District;1
Romania;Bucharest;1
Russia;Altai Krai;1
Russia;Altai Republic;1
Russia;Amur Oblast;1
Russia;Buryatia;1
Russia;Chechnya;1
Russia;Chukotka Autonomous Okrug;1
Russia;Dagestan;1
Russia;Donetsk People's Republic;1
Russia;Ingushetia;1
Russia;Jewish Autonomous Oblast;1
Russia;Kemerovo Oblast;1
Russia;Khakassia;1
Russia;Kurgan Oblast;1
Russia;Luhansk People's Republic;1
Russia;Magadan Oblast;1
Russia;Novosibirsk Oblast;1
Russia;Omsk Oblast;1
Russia;Sevastopol;1
Russia;Tomsk Oblast;1
Russia;Tyumen Oblast;1
Russia;Zabaykalsky Krai;1
Russia;Zaporozhye Oblast;1
Russian Republic;Russian Turkestan;1
San Marino;Acquaviva;1
San Marino;Borgo Maggiore;1
San Marino;Chiesanuova;1
San Marino;Domagnano;1
San Marino;Faetano;1
San Marino;Fiorentino;1
San Marino;Montegiardino;1
San Marino;San Marino;1
San Marino;Serravalle;1
Second Polish Republic;Białystok Voivodeship;1
Second Polish Republic;Lwów Voivodeship;1
Second Polish Republic;Nowogródek Voivodeship;1
Second Polish Republic;Polesie Voivodeship;1
Second Polish Republic;Stanisławów Voivodeship;1
Second Polish Republic;Tarnopol Voivodeship;1
Second Polish Republic;Wilno Voivodeship;1
Serbia;Bor District;1
Serbia;Braničevo District;1
Serbia;Central Banat District;1
Serbia;City of Belgrade;1
Serbia;Jablanica District;1
Serbia;Kolubara District;1
Serbia;Kosovo District;1
Serbia;Kosovo and Metohija;1
Serbia;Kosovo-Pomoravlje District;1
Serbia;Kosovska Mitrovica District;1
Serbia;Mačva District;1
Serbia;Moravica District;1
Serbia;Nišava District;1
Serbia;North Banat District;1
Serbia;North Bačka District;1
Serbia;Peć District;1
Serbia;Pirot District;1
Serbia;Podunavlje District;1
Serbia;Pomoravlje District;1
Serbia;Pčinja District;1
Serbia;Rasina District;1
Serbia;Raška District;1
Serbia;South Banat District;1
Serbia;South Bačka District;1
Serbia;Srem District;1
Serbia;Toplica District;1
Serbia;Vojvodina;1
Serbia;West Bačka District;1
Serbia;Zaječar District;1
Serbia;Zlatibor District;1
Serbia;Šumadija District;1
Slovak Republic;Q90884090;1
Slovenia;Ajdovščina Municipality;1
Slovenia;Ankaran Municipality;1
Slovenia;Birčna Vas;1
Slovenia;Bohinj Municipality;1
Slovenia;City Municipality of Celje;1
Slovenia;City Municipality of Koper;1
Slovenia;City Municipality of Kranj;1
Slovenia;City Municipality of Krško;1
Slovenia;City Municipality of Murska Sobota;1
Slovenia;City Municipality of Nova Gorica;1
Slovenia;City Municipality of Novo Mesto;1
Slovenia;City Municipality of Ptuj;1
Slovenia;City Municipality of Slovenj Gradec;1
Slovenia;City Municipality of Velenje;1
Slovenia;Dolž;1
Slovenia;Gabrje;1
Slovenia;Hrastnik Municipality;1
Slovenia;Ig Municipality;1
Slovenia;Kobarid Municipality;1
Slovenia;Komen Municipality;1
Slovenia;Komenda Municipality;1
Slovenia;Kostel Municipality;1
Slovenia;Laško Municipality;1
Slovenia;Ljubljana City Municipality;1
Slovenia;Ljutomer Municipality;1
Slovenia;Loška Dolina Municipality;1
Slovenia;Mali Slatnik;1
Slovenia;Maribor City Municipality;1
Slovenia;Miren–Kostanjevica Municipality;1
Slovenia;Mirna Municipality;1
Slovenia;Mirna Peč Municipality;1
Slovenia;Mislinja Municipality;1
Slovenia;Mokronog-Trebelno Municipality;1
Slovenia;Municipality of Apače;1
Slovenia;Municipality of Beltinci;1
Slovenia;Municipality of Benedikt;1
Slovenia;Municipality of Bistrica ob Sotli;1
Slovenia;Municipality of Bled;1
Slovenia;Municipality of Bloke;1
Slovenia;Municipality of Borovnica;1
Slovenia;Municipality of Bovec;1
Slovenia;Municipality of Braslovče;1
Slovenia;Municipality of Brda;1
Slovenia;Municipality of Brezovica;1
Slovenia;Municipality of Brežice;1
Slovenia;Municipality of Cankova;1
Slovenia;Municipality of Cerklje na Gorenjskem;1
Slovenia;Municipality of Cerknica;1
Slovenia;Municipality of Cerkvenjak;1
Slovenia;Municipality of Cirkulane;1
Slovenia;Municipality of Destrnik;1
Slovenia;Municipality of Divača;1
Slovenia;Municipality of Dobje;1
Slovenia;Municipality of Dobrepolje;1
Slovenia;Municipality of Dobrna;1
Slovenia;Municipality of Dobrova–Polhov Gradec;1
Slovenia;Municipality of Dobrovnik;1
Slovenia;Municipality of Dol pri Ljubljani;1
Slovenia;Municipality of Dolenjske Toplice;1
Slovenia;Municipality of Domžale;1
Slovenia;Municipality of Dornava;1
Slovenia;Municipality of Dravograd;1
Slovenia;Municipality of Duplek;1
Slovenia;Municipality of Gorenja Vas-Poljane;1
Slovenia;Municipality of Gorišnica;1
Slovenia;Municipality of Gorje;1
Slovenia;Municipality of Gornja Radgona;1
Slovenia;Municipality of Gornji Grad;1
Slovenia;Municipality of Gornji Petrovci;1
Slovenia;Municipality of Grad;1
Slovenia;Municipality of Grosuplje;1
Slovenia;Municipality of Hajdina;1
Slovenia;Municipality of Hodoš;1
Slovenia;Municipality of Horjul;1
Slovenia;Municipality of Hoče-Slivnica;1
Slovenia;Municipality of Hrpelje-Kozina;1
Slovenia;Municipality of Idrija;1
Slovenia;Municipality of Ilirska Bistrica;1
Slovenia;Municipality of Ivančna Gorica;1
Slovenia;Municipality of Izola;1
Slovenia;Municipality of Jesenice;1
Slovenia;Municipality of Jezersko;1
Slovenia;Municipality of Juršinci;1
Slovenia;Municipality of Kamnik;1
Slovenia;Municipality of Kanal ob Soči;1
Slovenia;Municipality of Kidričevo;1
Slovenia;Municipality of Kobilje;1
Slovenia;Municipality of Kostanjevica na Krki;1
Slovenia;Municipality of Kozje;1
Slovenia;Municipality of Kočevje;1
Slovenia;Municipality of Kranjska Gora;1
Slovenia;Municipality of Križevci;1
Slovenia;Municipality of Kungota;1
Slovenia;Municipality of Kuzma;1
Slovenia;Municipality of Lenart;1
Slovenia;Municipality of Lendava;1
Slovenia;Municipality of Litija;1
Slovenia;Municipality of Ljubno;1
Slovenia;Municipality of Logatec;1
Slovenia;Municipality of Log–Dragomer;1
Slovenia;Municipality of Lovrenc na Pohorju;1
Slovenia;Municipality of Loški Potok;1
Slovenia;Municipality of Lukovica;1
Slovenia;Municipality of Luče;1
Slovenia;Municipality of Majšperk;1
Slovenia;Municipality of Makole;1
Slovenia;Municipality of Markovci;1
Slovenia;Municipality of Medvode;1
Slovenia;Municipality of Mengeš;1
Slovenia;Municipality of Metlika;1
Slovenia;Municipality of Mežica;1
Slovenia;Municipality of Miklavž na Dravskem Polju;1
Slovenia;Municipality of Moravske Toplice;1
Slovenia;Municipality of Moravče;1
Slovenia;Municipality of Mozirje;1
Slovenia;Municipality of Muta;1
Slovenia;Municipality of Naklo;1
Slovenia;Municipality of Nazarje;1
Slovenia;Municipality of Odranci;1
Slovenia;Municipality of Oplotnica;1
Slovenia;Municipality of Osilnica;1
Slovenia;Municipality of Pesnica;1
Slovenia;Municipality of Pivka;1
Slovenia;Municipality of Podlehnik;1
Slovenia;Municipality of Podčetrtek;1
Slovenia;Municipality of Poljčane;1
Slovenia;Municipality of Polzela;1
Slovenia;Municipality of Postojna;1
Slovenia;Municipality of Prebold;1
Slovenia;Municipality of Preddvor;1
Slovenia;Municipality of Prevalje;1
Slovenia;Municipality of Puconci;1
Slovenia;Municipality of Radenci;1
Slovenia;Municipality of Radlje ob Dravi;1
Slovenia;Municipality of Radovljica;1
Slovenia;Municipality of Ravne na Koroškem;1
Slovenia;Municipality of Razkrižje;1
Slovenia;Municipality of Rače–Fram;1
Slovenia;Municipality of Renče–Vogrsko;1
Slovenia;Municipality of Rečica ob Savinji;1
Slovenia;Municipality of Ribnica;1
Slovenia;Municipality of Ribnica na Pohorju;1
Slovenia;Municipality of Rogatec;1
Slovenia;Municipality of Rogaška Slatina;1
Slovenia;Municipality of Rogašovci;1
Slovenia;Municipality of Selnica ob Dravi;1
Slovenia;Municipality of Semič;1
Slovenia;Municipality of Sežana;1
Slovenia;Municipality of Slovenska Bistrica;1
Slovenia;Municipality of Sodražica;1
Slovenia;Municipality of Središče ob Dravi;1
Slovenia;Municipality of Starše;1
Slovenia;Municipality of Straža;1
Slovenia;Municipality of Sveta Trojica v Slovenskih Goricah;1
Slovenia;Municipality of Sveti Andraž v Slovenskih Goricah;1
Slovenia;Municipality of Sveti Jurij ob Ščavnici;1
Slovenia;Municipality of Sveti Jurij v Slovenskih Goricah;1
Slovenia;Municipality of Sveti Tomaž;1
Slovenia;Municipality of Tabor;1
Slovenia;Municipality of Tišina;1
Slovenia;Municipality of Trbovlje;1
Slovenia;Municipality of Trnovska Vas;1
Slovenia;Municipality of Trzin;1
Slovenia;Municipality of Tržič;1
Slovenia;Municipality of Turnišče;1
Slovenia;Municipality of Velika Polana;1
Slovenia;Municipality of Velike Lašče;1
Slovenia;Municipality of Veržej;1
Slovenia;Municipality of Vipava;1
Slovenia;Municipality of Vitanje;1
Slovenia;Municipality of Vodice;1
Slovenia;Municipality of Vojnik;1
Slovenia;Municipality of Vransko;1
Slovenia;Municipality of Vrhnika;1
Slovenia;Municipality of Vuzenica;1
Slovenia;Municipality of Zavrč;1
Slovenia;Municipality of Črenšovci;1
Slovenia;Municipality of Črna na Koroškem;1
Slovenia;Municipality of Šalovci;1
Slovenia;Municipality of Šempeter–Vrtojba;1
Slovenia;Municipality of Šentilj;1
Slovenia;Municipality of Šentjernej;1
Slovenia;Municipality of Šentrupert;1
Slovenia;Municipality of Šenčur;1
Slovenia;Municipality of Škocjan;1
Slovenia;Municipality of Škofja Loka;1
Slovenia;Municipality of Škofljica;1
Slovenia;Municipality of Šmarje pri Jelšah;1
Slovenia;Municipality of Šmarješke Toplice;1
Slovenia;Municipality of Šmartno ob Paki;1
Slovenia;Municipality of Šmartno pri Litiji;1
Slovenia;Municipality of Šoštanj;1
Slovenia;Municipality of Štore;1
Slovenia;Municipality of Žalec;1
Slovenia;Municipality of Žetale;1
Slovenia;Municipality of Žiri;1
Slovenia;Municipality of Žirovnica;1
Slovenia;Municipality of Žužemberk;1
Slovenia;Ormož Municipality;1
Slovenia;Otočec;1
Slovenia;Piran Municipality;1
Slovenia;Podgrad;1
Slovenia;Prečna;1
Slovenia;Radeče Municipality;1
Slovenia;Ruše Municipality;1
Slovenia;Sevnica Municipality;1
Slovenia;Slovenske Konjice Municipality;1
Slovenia;Solčava Municipality;1
Slovenia;Stopiče;1
Slovenia;Sveta Ana Municipality;1
Slovenia;Trebnje Municipality;1
Slovenia;Uršna Sela;1
Slovenia;Zagorje ob Savi Municipality;1
Slovenia;Zreče Municipality;1
Slovenia;municipality of Cerkno;1
Slovenia;municipality of Videm;1
Slovenia;Črnomelj Municipality;1
Slovenia;Šentjur Municipality;1
Slovenia;Železniki Municipality;1
Socialist Federal Republic of Yugoslavia;Petrovec Municipality;1
Socialist Federal Republic of Yugoslavia;Socialist Autonomous Province of Vojvodina;1
Socialist Federal Republic of Yugoslavia;Staro Nagoričane Municipality;1
Socialist Federal Republic of Yugoslavia;Valandovo Municipality;1
Socialist Republic of Macedonia;Petrovec Municipality;1
Socialist Republic of Macedonia;Staro Nagoričane Municipality;1
Socialist Republic of Macedonia;Valandovo Municipality;1
Soviet Union;Aghdam District;1
Soviet Union;Atyrau Region;1
Soviet Union;Karelo-Finnish Soviet Socialist Republic;1
Soviet Union;Kirghiz Soviet Socialist Republic;1
Soviet Union;Kyzylorda Region;1
Soviet Union;Latvian Soviet Socialist Republic;1
Soviet Union;Lithuanian Soviet Socialist Republic;1
Soviet Union;Mangystau Region;1
Soviet Union;Marijampolė District Municipality;1
Soviet Union;Moldavian Soviet Socialist Republic;1
Soviet Union;Q55700152;1
Soviet Union;Salyan District;1
Soviet Union;Samara Oblast;1
Soviet Union;Socialist Soviet Republic of Abkhazia;1
Soviet Union;Turgay Oblast;1
Soviet Union;Turkmen Soviet Socialist Republic;1
Spain;Andalusia;1
Spain;Basque Autonomous Community;1
Spain;Castilla–La Mancha;1
Spain;Catalonia;1
Spain;Ceuta;1
Spain;Extremadura;1
Spain;Melilla;1
Switzerland;Canton of Appenzell Ausserrhoden;1
Switzerland;Canton of Appenzell Innerrhoden;1
Switzerland;Canton of Basel-Landschaft;1
Switzerland;Canton of Basel-Stadt;1
Switzerland;Canton of Geneva;1
Switzerland;Canton of Glarus;1
Switzerland;Canton of Jura;1
Switzerland;Canton of Neuchâtel;1
Switzerland;Canton of Nidwalden;1
Switzerland;Canton of Obwalden;1
Switzerland;Canton of Schaffhausen;1
Switzerland;Canton of Schwyz;1
Switzerland;Canton of Zug;1
Transnistria;Tiraspol;1
Ukraine;Autonomous Republic of Crimea;1
Ukraine;Sevastopol;1
United Kingdom;Akrotiri and Dhekelia;1
United Kingdom;Anguilla;1
United Kingdom;Bermuda;1
United Kingdom;British Indian Ocean Territory;1
United Kingdom;British Virgin Islands;1
United Kingdom;Cayman Islands;1
United Kingdom;England;1
United Kingdom;Gibraltar;1
United Kingdom;Montserrat;1
United Kingdom;Pitcairn Islands;1
United Kingdom;Saint Helena, Ascension and Tristan da Cunha;1
United Kingdom;Scotland;1
United Kingdom;South Georgia and the South Sandwich Islands;1
United Kingdom;Wales;1
Yugoslavia;Socialist Autonomous Province of Vojvodina;1
